complaint_id,bike_brand,bike_model,problem_category,problem_description,mileage_km,manufacturing_year,severity
31,Hero,Pulsar,Brakes,Poor mileage compared to normal,25145,2016,Low
32,KTM,Duke 200,Engine,Engine making unusual noise,25057,2024,Medium
33,Royal Enfield,Splendor,Engine,Overheating during long rides,30755,2020,Medium
34,Suzuki,R15,Overheating,Poor mileage compared to normal,25579,2024,Medium
35,Yamaha,Splendor,Overheating,Engine making unusual noise,51326,2023,Low
36,Honda,R15,Overheating,Poor mileage compared to normal,40738,2019,Low
37,KTM,Classic 350,Suspension,Overheating during long rides,52789,2019,High
38,Hero,FZ,Fuel System,Engine making unusual noise,26441,2019,Medium
39,Royal Enfield,Apache,Electrical,Bike not starting consistently,57142,2019,High
40,Royal Enfield,Duke 200,Engine,Bike not starting consistently,42408,2016,High
41,Bajaj,Classic 350,Overheating,Bike not starting consistently,43711,2015,Low
42,Honda,Splendor,Electrical,Brake pads wearing out too fast,45034,2022,High
43,Bajaj,FZ,Electrical,Brake pads wearing out too fast,45828,2018,High
44,Yamaha,Duke 200,Suspension,Brake pads wearing out too fast,47605,2017,Medium
45,KTM,FZ,Overheating,Poor mileage compared to normal,53014,2024,High
46,Suzuki,Duke 200,Brakes,Bike not starting consistently,4663,2015,Medium
47,Honda,R15,Brakes,Excessive vibration at high speed,55780,2022,Medium
48,Bajaj,R15,Brakes,Brake pads wearing out too fast,52143,2020,High
49,Royal Enfield,Classic 350,Transmission,Engine making unusual noise,17291,2015,Low
50,Royal Enfield,FZ,Brakes,Bike not starting consistently,29404,2015,Low
51,Royal Enfield,Access 125,Engine,Brake pads wearing out too fast,42323,2018,High
52,KTM,FZ,Electrical,Excessive vibration at high speed,35223,2021,Medium
53,Bajaj,Splendor,Suspension,Bike not starting consistently,35495,2021,Low
54,Hero,FZ,Suspension,Engine making unusual noise,32098,2019,High
55,Royal Enfield,Pulsar,Electrical,Bike not starting consistently,14570,2016,Medium
56,Honda,R15,Transmission,Poor mileage compared to normal,7304,2022,Medium
57,Royal Enfield,Access 125,Brakes,Brake pads wearing out too fast,50994,2017,Low
58,Bajaj,Apache,Overheating,Overheating during long rides,53145,2018,High
59,TVS,Splendor,Brakes,Bike not starting consistently,39996,2021,Low
60,Hero,Classic 350,Fuel System,Poor mileage compared to normal,5167,2015,Medium
61,Suzuki,Access 125,Brakes,Overheating during long rides,35863,2024,Medium
62,Suzuki,FZ,Suspension,Poor mileage compared to normal,7950,2016,Medium
63,Royal Enfield,R15,Electrical,Engine making unusual noise,29247,2015,Medium
64,Hero,FZ,Engine,Bike not starting consistently,42825,2017,High
65,TVS,Pulsar,Suspension,Excessive vibration at high speed,32379,2017,Low
66,Bajaj,Pulsar,Brakes,Excessive vibration at high speed,27375,2023,High
67,Royal Enfield,Classic 350,Brakes,Brake pads wearing out too fast,22101,2015,Low
68,Suzuki,Apache,Engine,Brake pads wearing out too fast,41390,2015,High
69,Suzuki,Pulsar,Fuel System,Bike not starting consistently,22472,2020,Medium
70,Yamaha,Access 125,Brakes,Gear shifting feels hard,36468,2019,High
71,Bajaj,R15,Electrical,Engine making unusual noise,28371,2023,High
72,Honda,Pulsar,Engine,Brake pads wearing out too fast,17508,2017,High
73,TVS,FZ,Overheating,Battery drains quickly,4730,2022,Low
74,Bajaj,Apache,Fuel System,Engine making unusual noise,34066,2021,Medium
75,Honda,FZ,Brakes,Poor mileage compared to normal,36557,2021,High
76,Suzuki,R15,Engine,Bike not starting consistently,3502,2020,Medium
77,Yamaha,Duke 200,Overheating,Overheating during long rides,37511,2019,High
78,KTM,Duke 200,Transmission,Battery drains quickly,49679,2017,Low
79,Royal Enfield,Duke 200,Fuel System,Overheating during long rides,45778,2020,Low
80,Royal Enfield,Duke 200,Transmission,Excessive vibration at high speed,36082,2022,Low
81,Suzuki,Pulsar,Electrical,Excessive vibration at high speed,10066,2023,High
82,Honda,FZ,Fuel System,Engine making unusual noise,13075,2015,High
83,Honda,Splendor,Brakes,Poor mileage compared to normal,22168,2020,Medium
84,KTM,Splendor,Brakes,Engine making unusual noise,2358,2017,High
85,Hero,Splendor,Electrical,Engine making unusual noise,11774,2017,Low
86,KTM,FZ,Fuel System,Brake pads wearing out too fast,4264,2016,High
87,Suzuki,FZ,Transmission,Excessive vibration at high speed,17311,2024,Medium
88,Royal Enfield,Splendor,Brakes,Brake pads wearing out too fast,48057,2020,Medium
89,KTM,Classic 350,Electrical,Battery drains quickly,54557,2018,Low
90,Suzuki,Access 125,Engine,Battery drains quickly,19442,2017,Low
91,Royal Enfield,Access 125,Fuel System,Brake pads wearing out too fast,51875,2023,High
92,Royal Enfield,Classic 350,Suspension,Excessive vibration at high speed,34624,2015,High
93,TVS,Apache,Engine,Gear shifting feels hard,41764,2024,Medium
94,Yamaha,R15,Brakes,Poor mileage compared to normal,31609,2016,Low
95,Honda,Splendor,Overheating,Battery drains quickly,31742,2021,Low
96,KTM,Classic 350,Fuel System,Battery drains quickly,32592,2017,High
97,Honda,Pulsar,Suspension,Gear shifting feels hard,15260,2022,Medium
98,Suzuki,R15,Engine,Excessive vibration at high speed,46411,2024,Low
99,KTM,Pulsar,Suspension,Brake pads wearing out too fast,35614,2017,Medium
100,Bajaj,FZ,Electrical,Excessive vibration at high speed,45712,2024,High
101,Hero,R15,Overheating,Brake pads wearing out too fast,28010,2021,High
102,Bajaj,Pulsar,Overheating,Brake pads wearing out too fast,12840,2017,High
103,TVS,FZ,Engine,Battery drains quickly,44917,2019,Medium
104,Yamaha,Duke 200,Overheating,Poor mileage compared to normal,7499,2023,Low
105,Honda,R15,Brakes,Bike not starting consistently,14460,2020,High
106,Suzuki,FZ,Transmission,Gear shifting feels hard,40693,2021,Low
107,TVS,R15,Fuel System,Overheating during long rides,5307,2020,Low
108,Bajaj,Splendor,Overheating,Bike not starting consistently,59954,2020,Low
109,Bajaj,Pulsar,Suspension,Gear shifting feels hard,36827,2023,High
110,KTM,Duke 200,Fuel System,Gear shifting feels hard,54717,2017,High
111,Honda,R15,Fuel System,Gear shifting feels hard,16408,2019,Medium
112,Hero,FZ,Transmission,Engine making unusual noise,22517,2016,Medium
113,Bajaj,FZ,Engine,Overheating during long rides,42051,2016,High
114,TVS,Classic 350,Fuel System,Brake pads wearing out too fast,6421,2016,Medium
115,Royal Enfield,FZ,Electrical,Engine making unusual noise,17473,2018,Low
116,Honda,Duke 200,Transmission,Bike not starting consistently,59773,2024,High
117,Yamaha,Classic 350,Electrical,Excessive vibration at high speed,39763,2018,Low
118,Suzuki,R15,Engine,Engine making unusual noise,38320,2024,Medium
119,Yamaha,Apache,Overheating,Excessive vibration at high speed,18977,2022,High
120,Yamaha,Duke 200,Transmission,Bike not starting consistently,47542,2019,Medium
121,Hero,Access 125,Electrical,Bike not starting consistently,42329,2016,Medium
122,KTM,Splendor,Suspension,Overheating during long rides,16063,2021,Low
123,Yamaha,Classic 350,Electrical,Bike not starting consistently,9059,2018,Low
124,Suzuki,R15,Suspension,Poor mileage compared to normal,10633,2024,Low
125,Yamaha,Splendor,Suspension,Engine making unusual noise,50154,2021,Low
126,Bajaj,Classic 350,Fuel System,Overheating during long rides,21278,2015,High
127,KTM,Apache,Fuel System,Overheating during long rides,28692,2018,High
128,Hero,Access 125,Engine,Poor mileage compared to normal,11915,2021,Medium
129,Hero,Splendor,Suspension,Overheating during long rides,48878,2020,Low
130,KTM,Apache,Suspension,Overheating during long rides,25283,2015,Medium
131,TVS,Access 125,Brakes,Brake pads wearing out too fast,59150,2017,Medium
132,Bajaj,Classic 350,Brakes,Gear shifting feels hard,29903,2021,Low
133,Honda,Pulsar,Engine,Brake pads wearing out too fast,7087,2024,Low
134,Bajaj,Access 125,Electrical,Excessive vibration at high speed,32123,2022,Medium
135,Bajaj,Apache,Engine,Bike not starting consistently,58577,2016,High
136,Honda,FZ,Engine,Overheating during long rides,5866,2021,High
137,Bajaj,Apache,Engine,Excessive vibration at high speed,59408,2020,Medium
138,Hero,Access 125,Engine,Engine making unusual noise,25399,2015,Medium
139,Yamaha,Apache,Suspension,Bike not starting consistently,17968,2019,High
140,Royal Enfield,Splendor,Fuel System,Overheating during long rides,37244,2019,Medium
141,KTM,FZ,Electrical,Brake pads wearing out too fast,21843,2023,High
142,Suzuki,Classic 350,Electrical,Overheating during long rides,33392,2018,Medium
143,Yamaha,Splendor,Suspension,Battery drains quickly,20017,2016,Low
144,Royal Enfield,Apache,Electrical,Excessive vibration at high speed,40970,2023,Low
145,TVS,Duke 200,Fuel System,Engine making unusual noise,56575,2017,Low
146,Royal Enfield,Pulsar,Overheating,Bike not starting consistently,6017,2018,Medium
147,Bajaj,Splendor,Suspension,Poor mileage compared to normal,8434,2022,Medium
148,Yamaha,Apache,Suspension,Engine making unusual noise,15423,2019,High
149,Honda,Splendor,Transmission,Bike not starting consistently,53456,2018,Low
150,KTM,Apache,Transmission,Battery drains quickly,26304,2024,Medium
151,KTM,Access 125,Engine,Excessive vibration at high speed,31299,2016,High
152,Royal Enfield,Access 125,Suspension,Gear shifting feels hard,12253,2021,Low
153,TVS,Access 125,Transmission,Excessive vibration at high speed,7413,2020,Low
154,Yamaha,R15,Engine,Overheating during long rides,44187,2015,Medium
155,Yamaha,Classic 350,Overheating,Brake pads wearing out too fast,1834,2015,Medium
156,Honda,Classic 350,Transmission,Engine making unusual noise,12718,2017,Medium
157,TVS,Apache,Electrical,Gear shifting feels hard,23140,2020,Medium
158,Suzuki,Classic 350,Transmission,Engine making unusual noise,4026,2023,Low
159,Yamaha,Access 125,Brakes,Gear shifting feels hard,9824,2020,Medium
160,Honda,Classic 350,Overheating,Engine making unusual noise,41676,2024,Medium
161,Hero,FZ,Suspension,Poor mileage compared to normal,21950,2016,Medium
162,Hero,Access 125,Transmission,Engine making unusual noise,20208,2022,High
163,Yamaha,Classic 350,Electrical,Brake pads wearing out too fast,19117,2016,High
164,Royal Enfield,Duke 200,Suspension,Bike not starting consistently,15118,2016,High
165,TVS,FZ,Overheating,Gear shifting feels hard,50378,2015,Medium
166,Hero,Classic 350,Electrical,Poor mileage compared to normal,19158,2023,High
167,KTM,R15,Brakes,Poor mileage compared to normal,20576,2019,Low
168,Hero,Classic 350,Electrical,Brake pads wearing out too fast,49361,2023,Low
169,TVS,Pulsar,Transmission,Bike not starting consistently,40491,2017,Low
170,Hero,FZ,Electrical,Excessive vibration at high speed,51914,2017,Medium
171,Royal Enfield,FZ,Overheating,Bike not starting consistently,27735,2019,Low
172,Hero,Access 125,Overheating,Excessive vibration at high speed,8195,2019,Low
173,Suzuki,Classic 350,Electrical,Gear shifting feels hard,21744,2017,Low
174,KTM,FZ,Engine,Overheating during long rides,54928,2015,High
175,Honda,Apache,Overheating,Battery drains quickly,8369,2021,Low
176,Bajaj,Duke 200,Engine,Excessive vibration at high speed,11559,2022,Medium
177,Royal Enfield,Classic 350,Engine,Gear shifting feels hard,11578,2024,Medium
178,Hero,FZ,Overheating,Poor mileage compared to normal,45738,2021,Low
179,KTM,Pulsar,Overheating,Gear shifting feels hard,34699,2019,Low
180,Suzuki,FZ,Suspension,Bike not starting consistently,44872,2023,Low
181,Bajaj,Apache,Fuel System,Poor mileage compared to normal,776,2023,Medium
182,Royal Enfield,FZ,Electrical,Poor mileage compared to normal,15747,2019,Medium
183,Yamaha,Duke 200,Engine,Gear shifting feels hard,14708,2017,Low
184,Hero,Access 125,Overheating,Excessive vibration at high speed,36239,2016,Low
185,Bajaj,Access 125,Suspension,Battery drains quickly,21218,2019,Low
186,Hero,Duke 200,Transmission,Battery drains quickly,25192,2021,High
187,Bajaj,R15,Suspension,Overheating during long rides,15439,2021,Low
188,Suzuki,Splendor,Engine,Poor mileage compared to normal,43166,2017,Low
189,Yamaha,Classic 350,Electrical,Brake pads wearing out too fast,44395,2019,High
190,Bajaj,Duke 200,Overheating,Overheating during long rides,46846,2022,Low
191,TVS,Pulsar,Engine,Bike not starting consistently,5132,2017,High
192,Yamaha,FZ,Suspension,Engine making unusual noise,43556,2019,High
193,Hero,Classic 350,Overheating,Engine making unusual noise,41133,2020,High
194,KTM,Splendor,Suspension,Excessive vibration at high speed,22954,2020,Low
195,Suzuki,Splendor,Engine,Excessive vibration at high speed,57919,2017,Medium
196,Bajaj,Classic 350,Engine,Battery drains quickly,16032,2015,Medium
197,KTM,Duke 200,Overheating,Overheating during long rides,30904,2018,Medium
198,Hero,R15,Transmission,Poor mileage compared to normal,42324,2024,Medium
199,KTM,Access 125,Electrical,Excessive vibration at high speed,50975,2017,Medium
200,Yamaha,Splendor,Transmission,Overheating during long rides,55396,2022,Low
201,Royal Enfield,Duke 200,Brakes,Engine making unusual noise,9324,2018,Low
202,Royal Enfield,Classic 350,Suspension,Gear shifting feels hard,10895,2015,Low
203,Suzuki,Apache,Engine,Gear shifting feels hard,17923,2024,High
204,Yamaha,Apache,Engine,Gear shifting feels hard,29901,2017,Medium
205,Royal Enfield,Splendor,Fuel System,Overheating during long rides,10632,2021,Medium
206,KTM,R15,Engine,Brake pads wearing out too fast,36338,2020,Low
207,KTM,Access 125,Electrical,Bike not starting consistently,46426,2024,Low
208,Hero,R15,Electrical,Gear shifting feels hard,39651,2016,Low
209,Royal Enfield,FZ,Engine,Gear shifting feels hard,1084,2024,Medium
210,Yamaha,Access 125,Overheating,Overheating during long rides,1709,2024,High
211,Honda,Splendor,Transmission,Overheating during long rides,33891,2017,High
212,KTM,Apache,Engine,Bike not starting consistently,37165,2020,Low
213,Hero,Apache,Electrical,Engine making unusual noise,39763,2021,High
214,Yamaha,Access 125,Fuel System,Battery drains quickly,21160,2016,Low
215,Yamaha,Access 125,Fuel System,Excessive vibration at high speed,45447,2023,Medium
216,Yamaha,R15,Fuel System,Overheating during long rides,3700,2023,High
217,TVS,Splendor,Suspension,Bike not starting consistently,20563,2019,High
218,Hero,Duke 200,Transmission,Bike not starting consistently,24394,2024,Medium
219,Honda,Pulsar,Transmission,Excessive vibration at high speed,59284,2024,High
220,TVS,Access 125,Electrical,Battery drains quickly,48380,2024,Medium
221,Hero,R15,Suspension,Bike not starting consistently,24953,2022,Low
222,Honda,Duke 200,Engine,Gear shifting feels hard,59092,2015,Low
223,KTM,Duke 200,Overheating,Excessive vibration at high speed,56318,2018,Low
224,TVS,R15,Overheating,Bike not starting consistently,1078,2022,High
225,Yamaha,Duke 200,Overheating,Poor mileage compared to normal,15137,2018,Medium
226,Honda,Access 125,Overheating,Overheating during long rides,46133,2022,Medium
227,TVS,Splendor,Fuel System,Bike not starting consistently,58169,2016,Medium
228,Bajaj,Access 125,Fuel System,Gear shifting feels hard,42378,2019,Low
229,Suzuki,Apache,Brakes,Engine making unusual noise,48105,2020,Medium
230,Yamaha,Classic 350,Brakes,Battery drains quickly,8771,2017,Low
231,Bajaj,Classic 350,Transmission,Overheating during long rides,23304,2015,High
232,KTM,Classic 350,Brakes,Engine making unusual noise,23441,2016,Medium
233,KTM,Pulsar,Fuel System,Battery drains quickly,23075,2018,High
234,Royal Enfield,Pulsar,Brakes,Poor mileage compared to normal,45528,2019,Low
235,Bajaj,Duke 200,Engine,Gear shifting feels hard,17681,2024,High
236,Honda,Pulsar,Electrical,Gear shifting feels hard,9326,2016,High
237,Yamaha,Pulsar,Transmission,Engine making unusual noise,43062,2018,Low
238,Hero,FZ,Suspension,Poor mileage compared to normal,27643,2024,Low
239,Yamaha,Classic 350,Fuel System,Engine making unusual noise,44978,2016,High
240,Suzuki,Access 125,Engine,Bike not starting consistently,20964,2018,Medium
241,Suzuki,Duke 200,Brakes,Excessive vibration at high speed,737,2024,Medium
242,Yamaha,Duke 200,Fuel System,Overheating during long rides,37699,2020,Medium
243,KTM,Duke 200,Engine,Bike not starting consistently,40040,2016,Low
244,Honda,Access 125,Transmission,Poor mileage compared to normal,37467,2016,Low
245,Honda,FZ,Engine,Poor mileage compared to normal,28056,2023,Low
246,TVS,Access 125,Brakes,Brake pads wearing out too fast,5853,2020,High
247,KTM,Pulsar,Fuel System,Excessive vibration at high speed,44980,2022,Low
248,Honda,Splendor,Overheating,Excessive vibration at high speed,21432,2016,Low
249,Suzuki,Apache,Suspension,Engine making unusual noise,11998,2017,High
250,Hero,Access 125,Suspension,Poor mileage compared to normal,22291,2021,Medium
251,Honda,Classic 350,Overheating,Overheating during long rides,45335,2017,Medium
252,Suzuki,Access 125,Overheating,Overheating during long rides,37436,2017,Medium
253,Honda,Access 125,Electrical,Battery drains quickly,46385,2020,Medium
254,Royal Enfield,Access 125,Fuel System,Battery drains quickly,47655,2019,Low
255,Honda,R15,Overheating,Battery drains quickly,46843,2019,Low
256,Yamaha,Splendor,Overheating,Poor mileage compared to normal,31184,2015,Medium
257,Honda,FZ,Electrical,Excessive vibration at high speed,8951,2022,Medium
258,Royal Enfield,Apache,Overheating,Poor mileage compared to normal,55582,2018,Medium
259,TVS,Apache,Electrical,Poor mileage compared to normal,4275,2024,Low
260,Royal Enfield,FZ,Engine,Brake pads wearing out too fast,18019,2020,Low
261,Yamaha,Apache,Suspension,Brake pads wearing out too fast,55681,2020,Low
262,Royal Enfield,R15,Transmission,Excessive vibration at high speed,50226,2022,Medium
263,Suzuki,Apache,Brakes,Excessive vibration at high speed,47688,2024,Low
264,Yamaha,Apache,Fuel System,Gear shifting feels hard,31411,2020,Low
265,KTM,Pulsar,Suspension,Bike not starting consistently,4637,2015,Medium
266,Royal Enfield,Splendor,Engine,Excessive vibration at high speed,40962,2022,High
267,Suzuki,Splendor,Suspension,Battery drains quickly,48408,2015,Medium
268,Yamaha,Splendor,Transmission,Brake pads wearing out too fast,19318,2021,High
269,Suzuki,Splendor,Fuel System,Brake pads wearing out too fast,19060,2021,High
270,Hero,FZ,Overheating,Battery drains quickly,36598,2021,High
271,Honda,Apache,Transmission,Bike not starting consistently,45232,2017,High
272,Yamaha,Access 125,Suspension,Battery drains quickly,20389,2022,Low
273,Hero,FZ,Overheating,Brake pads wearing out too fast,57350,2022,High
274,Yamaha,Duke 200,Engine,Overheating during long rides,41777,2015,High
275,Royal Enfield,Classic 350,Overheating,Overheating during long rides,2099,2018,High
276,KTM,FZ,Engine,Overheating during long rides,57453,2016,Medium
277,Suzuki,FZ,Transmission,Brake pads wearing out too fast,48075,2015,High
278,Royal Enfield,Apache,Engine,Bike not starting consistently,10798,2015,Low
279,TVS,FZ,Brakes,Engine making unusual noise,21270,2018,Medium
280,Yamaha,Access 125,Fuel System,Overheating during long rides,5168,2019,Low
281,Honda,R15,Suspension,Battery drains quickly,8652,2022,Low
282,TVS,Apache,Brakes,Overheating during long rides,22274,2024,Medium
283,KTM,Duke 200,Engine,Poor mileage compared to normal,41838,2016,High
284,Bajaj,Splendor,Engine,Engine making unusual noise,37817,2021,High
285,TVS,Access 125,Fuel System,Poor mileage compared to normal,36648,2022,High
286,Honda,Access 125,Transmission,Brake pads wearing out too fast,34357,2018,Low
287,Bajaj,FZ,Overheating,Bike not starting consistently,38439,2023,Medium
288,Honda,Duke 200,Fuel System,Poor mileage compared to normal,3028,2022,Medium
289,Yamaha,Apache,Electrical,Bike not starting consistently,40003,2024,High
290,Honda,FZ,Suspension,Gear shifting feels hard,40679,2017,Low
291,Suzuki,FZ,Suspension,Bike not starting consistently,35429,2022,Low
292,Royal Enfield,Classic 350,Suspension,Excessive vibration at high speed,55954,2017,Medium
293,KTM,Pulsar,Engine,Gear shifting feels hard,26411,2019,High
294,Hero,R15,Overheating,Overheating during long rides,41948,2017,High
295,Royal Enfield,Apache,Brakes,Poor mileage compared to normal,29579,2017,Low
296,TVS,FZ,Overheating,Poor mileage compared to normal,21842,2019,Medium
297,Yamaha,Pulsar,Transmission,Engine making unusual noise,54924,2017,High
298,Honda,Pulsar,Transmission,Brake pads wearing out too fast,25629,2020,Low
299,Bajaj,Splendor,Engine,Overheating during long rides,8021,2015,Low
300,Yamaha,R15,Suspension,Poor mileage compared to normal,7317,2017,Low
301,TVS,Pulsar,Overheating,Poor mileage compared to normal,52698,2019,Medium
302,Yamaha,Splendor,Suspension,Excessive vibration at high speed,8754,2016,High
303,Royal Enfield,Splendor,Fuel System,Battery drains quickly,44078,2021,High
304,Royal Enfield,Pulsar,Overheating,Overheating during long rides,45744,2016,Low
305,Yamaha,Pulsar,Engine,Engine making unusual noise,9543,2021,High
306,Bajaj,FZ,Engine,Gear shifting feels hard,56888,2023,Low
307,Yamaha,Classic 350,Transmission,Gear shifting feels hard,40002,2023,Medium
308,Hero,Duke 200,Engine,Poor mileage compared to normal,32107,2021,High
309,Honda,Pulsar,Electrical,Bike not starting consistently,27701,2017,High
310,Bajaj,Classic 350,Suspension,Overheating during long rides,56069,2024,Low
311,Hero,FZ,Engine,Brake pads wearing out too fast,16425,2018,Low
312,Royal Enfield,Duke 200,Electrical,Brake pads wearing out too fast,20927,2020,Medium
313,Royal Enfield,Apache,Engine,Battery drains quickly,54063,2020,Low
314,Bajaj,Duke 200,Transmission,Battery drains quickly,1367,2024,High
315,Suzuki,Splendor,Brakes,Gear shifting feels hard,16805,2016,High
316,Suzuki,Splendor,Electrical,Engine making unusual noise,25637,2019,High
317,Honda,Pulsar,Suspension,Overheating during long rides,38676,2018,Low
318,Hero,Apache,Fuel System,Bike not starting consistently,17435,2015,Low
319,Honda,R15,Electrical,Battery drains quickly,42908,2020,Medium
320,Royal Enfield,FZ,Electrical,Engine making unusual noise,3211,2016,Low
321,KTM,Access 125,Brakes,Engine making unusual noise,40213,2022,Medium
322,KTM,Duke 200,Fuel System,Engine making unusual noise,10491,2016,High
323,TVS,Pulsar,Overheating,Poor mileage compared to normal,5281,2015,High
324,Royal Enfield,Pulsar,Electrical,Brake pads wearing out too fast,52059,2018,High
325,Hero,R15,Transmission,Gear shifting feels hard,50793,2020,Medium
326,Bajaj,Apache,Fuel System,Brake pads wearing out too fast,9709,2018,Low
327,Suzuki,Apache,Engine,Engine making unusual noise,8668,2021,High
328,TVS,Pulsar,Fuel System,Gear shifting feels hard,9346,2021,Medium
329,KTM,Apache,Brakes,Excessive vibration at high speed,58469,2023,Low
330,Honda,Apache,Engine,Engine making unusual noise,8747,2021,Medium
331,TVS,Pulsar,Overheating,Poor mileage compared to normal,23097,2018,Medium
332,Royal Enfield,Pulsar,Electrical,Bike not starting consistently,20365,2016,Low
333,Suzuki,Access 125,Transmission,Overheating during long rides,14691,2019,High
334,Suzuki,Splendor,Overheating,Engine making unusual noise,33102,2023,High
335,TVS,Splendor,Transmission,Gear shifting feels hard,14206,2019,High
336,Bajaj,Duke 200,Engine,Brake pads wearing out too fast,28724,2023,High
337,Royal Enfield,Access 125,Transmission,Overheating during long rides,47703,2021,Low
338,KTM,Apache,Electrical,Brake pads wearing out too fast,19580,2018,High
339,Yamaha,Access 125,Engine,Gear shifting feels hard,19251,2016,Low
340,Honda,FZ,Engine,Overheating during long rides,48860,2019,Low
341,Bajaj,Pulsar,Overheating,Engine making unusual noise,18949,2015,Low
342,Royal Enfield,Pulsar,Overheating,Overheating during long rides,19183,2020,Low
343,Bajaj,Apache,Transmission,Engine making unusual noise,15193,2018,High
344,Yamaha,Pulsar,Engine,Poor mileage compared to normal,43550,2023,Low
345,TVS,Pulsar,Suspension,Gear shifting feels hard,22041,2023,Low
346,Hero,Duke 200,Engine,Excessive vibration at high speed,25993,2018,Low
347,Yamaha,R15,Suspension,Bike not starting consistently,37673,2023,Medium
348,KTM,Splendor,Engine,Brake pads wearing out too fast,48844,2019,Low
349,Bajaj,R15,Overheating,Engine making unusual noise,34622,2018,Medium
350,Royal Enfield,Access 125,Transmission,Bike not starting consistently,13077,2019,Medium
351,Bajaj,R15,Overheating,Brake pads wearing out too fast,49138,2023,Low
352,Suzuki,Duke 200,Engine,Battery drains quickly,19918,2020,High
353,Honda,R15,Electrical,Gear shifting feels hard,25739,2015,Medium
354,Suzuki,R15,Transmission,Bike not starting consistently,55363,2020,High
355,Honda,Duke 200,Electrical,Engine making unusual noise,29275,2022,Medium
356,Yamaha,R15,Suspension,Engine making unusual noise,48978,2024,Medium
357,Suzuki,Apache,Engine,Brake pads wearing out too fast,56717,2024,Low
358,KTM,Pulsar,Suspension,Overheating during long rides,43951,2017,Low
359,TVS,Pulsar,Electrical,Bike not starting consistently,3787,2016,High
360,Suzuki,Pulsar,Suspension,Brake pads wearing out too fast,7019,2022,High
361,Honda,Pulsar,Electrical,Battery drains quickly,34315,2021,Medium
362,TVS,Access 125,Electrical,Engine making unusual noise,17282,2019,High
363,Honda,Classic 350,Brakes,Battery drains quickly,26228,2020,High
364,Bajaj,Apache,Suspension,Bike not starting consistently,20503,2015,Medium
365,Honda,R15,Fuel System,Battery drains quickly,11746,2015,Medium
366,KTM,Pulsar,Suspension,Engine making unusual noise,37693,2015,High
367,Honda,Pulsar,Electrical,Overheating during long rides,47947,2016,Medium
368,Royal Enfield,Splendor,Suspension,Brake pads wearing out too fast,40316,2017,Low
369,Bajaj,Pulsar,Engine,Bike not starting consistently,55802,2023,Medium
370,Hero,Splendor,Engine,Gear shifting feels hard,11202,2019,Medium
371,Royal Enfield,Access 125,Fuel System,Bike not starting consistently,544,2017,Low
372,Royal Enfield,Apache,Fuel System,Poor mileage compared to normal,19797,2018,High
373,Yamaha,Splendor,Overheating,Brake pads wearing out too fast,41289,2016,High
374,Suzuki,Splendor,Brakes,Battery drains quickly,52304,2015,Low
375,Honda,R15,Engine,Brake pads wearing out too fast,46727,2024,High
376,Hero,FZ,Electrical,Battery drains quickly,18048,2020,Low
